datetime,volume,prec,temp
2017-09-06,53.3,5.1343278884887695,30.401609420776367
2017-09-07,113.3,0.3298555016517639,30.04159164428711
2017-09-08,106.7,0.20793671905994415,28.38036346435547
2017-09-09,113.3,0.24104838073253632,29.48352813720703
2017-09-10,53.3,0.05311944708228111,28.812807083129883
2017-09-11,86.7,0.2160784900188446,30.439285278320312
2017-09-12,100.0,0.23844322562217712,31.28949737548828
2017-09-13,120.0,0.38716650009155273,29.350988388061523
2017-09-14,100.0,1.0654296875,28.97858238220215
2017-09-15,93.3,0.6932658553123474,29.342863082885742
2017-09-16,120.0,1.211559534072876,31.933948516845703
2017-09-17,100.0,0.8069730401039124,30.314388275146484
2017-09-18,100.0,0.2570260167121887,31.273109436035156
2017-09-19,93.3,0.6919495463371277,31.386762619018555
2017-09-20,113.3,0.38345468044281006,31.872304916381836
2017-09-21,106.7,1.0922781229019165,28.30130386352539
2017-09-22,100.0,0.4511694312095642,27.422630310058594
2017-09-23,106.7,0.24408066272735596,28.054536819458008
2017-09-24,120.0,0.4792579114437103,30.544410705566406
2017-09-25,120.0,0.33886975049972534,30.56995391845703
2017-09-26,133.3,0.008582906797528267,30.905439376831055
2017-09-27,113.3,0.005024016834795475,31.59686279296875
2017-09-28,113.3,0.0,30.711999893188477
2017-09-29,120.0,0.03703979402780533,31.243892669677734
2017-09-30,93.3,0.05010738596320152,29.875259399414062
2017-10-01,140.0,0.09661155194044113,30.994752883911133
2017-10-02,113.3,0.0,29.51975440979004
2017-10-03,100.0,0.0,33.151702880859375
2017-10-04,93.3,0.005837942007929087,33.061058044433594
2017-10-05,93.3,0.010980387218296528,32.63198471069336
2017-10-06,126.7,0.06472199410200119,32.847591400146484
2017-10-07,126.7,0.776786208152771,32.1262092590332
2017-10-08,146.7,0.4186473488807678,32.51068878173828
2017-10-09,140.0,1.157657265663147,32.502647399902344
2017-10-10,140.0,1.6017612218856812,31.683149337768555
2017-10-11,153.3,0.5253844857215881,31.20188331604004
2017-10-12,106.7,1.375640630722046,28.022510528564453
2017-10-13,80.0,2.2127420902252197,30.185161590576172
2017-10-14,33.3,5.89220666885376,30.766246795654297
2017-10-15,66.7,8.458693504333496,29.871095657348633
2017-10-16,40.0,3.3353261947631836,30.770078659057617
2017-10-17,13.3,2.1650984287261963,32.40467834472656
2017-10-18,120.0,2.59993314743042,32.57782745361328
2017-10-19,66.7,4.038042068481445,25.55173110961914
2017-10-20,0.0,2.202039957046509,27.14524269104004
2017-10-21,0.0,8.59733772277832,27.928539276123047
2017-10-22,0.0,3.2359282970428467,29.77988624572754
2017-10-23,20.0,3.3464016914367676,31.262121200561523
2017-10-24,33.3,3.147360324859619,30.277790069580078
2017-10-25,0.0,11.766451835632324,28.237733840942383
2017-10-26,13.3,1.7277878522872925,30.065256118774414
2017-10-27,40.0,1.9610545635223389,30.656200408935547
2017-10-28,26.7,0.1675708144903183,31.44523048400879
2017-10-29,26.7,0.11322815716266632,30.734285354614258
2017-10-30,13.3,3.86946702003479,30.527698516845703
2017-10-31,0.0,0.13770854473114014,30.708986282348633
2017-11-01,13.3,0.09660280495882034,31.65205192565918
2017-11-02,0.0,0.02032063715159893,30.37055206298828
2017-11-03,20.0,0.0057418509386479855,30.875688552856445
2017-11-04,0.0,1.1549378633499146,29.48051643371582
2017-11-05,0.0,1.1859201192855835,23.743038177490234
2017-11-06,0.0,10.033315658569336,27.82301902770996
2017-11-07,0.0,9.782197952270508,26.98996925354004
2017-11-08,0.0,7.665402412414551,29.228784561157227
2017-11-09,20.0,1.6750216484069824,29.694902420043945
2017-11-10,0.0,0.40142586827278137,30.032747268676758
2017-11-11,0.0,1.8705848455429077,29.90999984741211
2017-11-12,0.0,4.772088527679443,29.108510971069336
2017-11-13,0.0,0.30675721168518066,29.570354461669922
2017-11-14,0.0,0.9121648073196411,29.890674591064453
2017-11-15,0.0,1.4432255029678345,29.803199768066406
2017-11-16,0.0,0.15839259326457977,31.084228515625
2017-11-17,0.0,0.020750414580106735,31.187196731567383
2017-11-18,20.0,0.921680212020874,30.991180419921875
2017-11-19,0.0,0.0,31.76919937133789
2017-11-20,6.7,0.0,31.836084365844727
2017-11-21,26.7,0.0,32.07981872558594
2017-11-22,33.3,0.0,31.61656379699707
2017-11-23,0.0,0.16361473500728607,31.418384552001953
2017-11-24,0.0,0.4734266400337219,29.89812660217285
2017-11-25,0.0,0.28138968348503113,29.218000411987305
2017-11-26,6.7,0.8989874720573425,30.490070343017578
2017-11-27,20.0,1.3675425052642822,30.840579986572266
2017-11-28,0.0,0.7616426944732666,31.395885467529297
2017-11-29,40.0,0.5923184752464294,31.76100730895996
2017-11-30,26.7,0.5217384696006775,30.548194885253906
2017-12-01,13.3,0.0023856842890381813,31.53512954711914
2017-12-02,13.3,0.03727570176124573,31.56546401977539
2017-12-03,6.7,0.0,32.61756896972656
2017-12-04,0.0,0.08720466494560242,32.6019172668457
2017-12-05,26.7,0.015223488211631775,32.36931610107422
2017-12-06,6.7,0.13689404726028442,32.7160530090332
2017-12-07,0.0,0.006058152765035629,32.04963302612305
2017-12-08,13.3,0.0,32.11315155029297
2017-12-09,13.3,0.23083050549030304,31.809659957885742
2017-12-10,20.0,0.0,31.9033260345459
2017-12-11,0.0,0.0,32.05074691772461
2017-12-12,33.3,0.0,32.67911148071289
2017-12-13,13.3,0.0,32.77989959716797
2017-12-14,13.3,0.0,32.597015380859375
2017-12-15,20.0,0.0,32.91327667236328
2017-12-16,13.3,0.0,33.10824966430664
2017-12-17,26.7,0.0,32.372955322265625
